Order,Orden 
Price,Precio 
Total,Total 
Zipcode,Código postal 
Reorder,Reordenar 
Add to cart,Añadir al carrito 
Message from support,Mensaje de apoyo 
Message sent.,Mensaje enviado. 
I don't work with groups.,No trabajo con grupos. 
"Something went wrong, please try again.","Algo salió mal, por favor vuelva a intentarlo. "
Ok,Vale 
Okay,Bien 
Cool,Enfriar 
Awesome,Impresionante 
Added. To checkout send,Añadido. Compra enviar 
"Sorry, no products found in this category.","Lo sentimos, no hay productos encontrados en esta categoría. "
"Sorry, no products found for this criteria.","Lo sentimos, no hay productos encontraron para este criterio. "
we have sent your message to support.,hemos enviado su mensaje de apoyo. 
Please select a category.,Por favor seleccione una categoría. 
Products on cart,Productos en carro 
Checkout Here,Pedido aquí 
Your cart is empty.,Su cesta está vacía. 
Cart cleared.,Carro de borra. 
what do you want to search for?,¿Qué desea buscar? 
"To login to your account, click this link","Para acceder a su cuenta, haga clic en este enlace "
"To login to your account, access the link below","Para acceder a tu cuenta, accede el siguiente enlace "
let me fetch that for you.,Permítanme traen para ti. 
Please login first.,Por favor ingresa primero. 
to checkout send,compra enviar 
what do you need support for?,¿Qué necesitan apoyo para? 
exiting support mode.,salir del modo de apoyo. 
Done.,Hecho. 
"Sorry, I didn't understand that.","Lo sentimos, no entiendo que. "
"Ok, canceled.","OK, se cancela. "
Your account is now attached with our chatbot.,Su cuenta se une ahora con nuestro chatbot. 
Chatbot settings saved successfully.,Chatbot ajustes guardados con éxito. 
List store categories.,Lista categorías de tienda. 
Search for products.,Búsqueda de productos. 
Login into your account.,Inicio de sesión en su cuenta. 
Logout from your account.,Cerrar sesión de su cuenta. 
List your personal orders.,Lista tus pedidos personales. 
Reorder a order.,Reordenar una orden. 
Add product to cart.,Añadir producto al carrito. 
Checkout your order.,Pedido su pedido. 
Clear your cart.,Claro tu carro. 
Track your order status.,Seguimiento de estado de tu pedido. 
Send message to support.,Enviar mensaje a apoyar. 
Send email.,Enviar correo electrónico. 
Cancel.,Cancelar. 
Get help.,Obtener ayuda. 
About.,Acerca de. 
Webhook for Telegram configured.,Webhook para telegrama configurado. 
Command list,Lista de comandos 
This account has no orders.,Esta no cuenta pedidos. 
write the email content.,Escriba el contenido del correo electrónico. 
By doing this you agree that we may contact you directly via chat message.,Haciendo esto que usted está de acuerdo en que nos podremos en contacto contigo directamente a través de mensaje de chat. 
Trying to send the email...,Tratando de enviar el correo electrónico... 
Contact from chatbot,Contacto de chatbot 
"Sorry, I wasn't able to send an email this time. Please try again later.","Lo sentimos, no pude enviar un correo electrónico esta vez. Por favor Inténtalo más tarde. "
Not informed,No informado 
Message from chatbot customer,Mensaje del cliente de chatbot 
Customer name,Nombre del cliente 
Message,Mensaje 
Contacts,Contactos 
"To cancel, send","Para cancelar, envíe "
Chatbot,Chatbot 
Email,Correo electrónico 
send the order number.,enviar el número de orden. 
"Sorry, we couldn't find any order with this information.","Lo sentimos, no pudimos encontrar ningún orden con esta información. "
Your account dosen't have any orders.,Su cuenta tiene ningún pedido. 
"To talk with me, please enable Telegram on your account chatbot settings.","Para hablar conmigo, por favor, active el telegrama en su configuración de cuenta de chatbot. "
Start a bot conversation on Telegram,Iniciar una conversación de bot en telegrama 
Start a bot conversation on Facebook Messenger,Iniciar una conversación de bot en Facebook Messenger 
Here,Aquí 
Enable Telegram?,¿Habilitar el telegrama? 
Enable Facebook?,¿Habilitar el Facebook? 
Enable Whatsapp?,¿Activar Whatsapp? 
Enable Wechat?,¿Permiten Wechat? 
"To talk with me, please enable Facebook Messenger on your account chatbot settings.","Para hablar conmigo, por favor habilite a Facebook Messenger en tu cuenta ajustes de chatbot. "
Visit product's page,Visita la página del producto 
Processing...,Procesamiento de... 
Please wait while I check that for you.,Por favor espere mientras verifico para usted. 
Login,Inicio de sesión 
"To login to your account, click the link below","Para acceder a su cuenta, haga clic en el enlace de abajo "
You're already logged.,Usted ya está registrado. 
You're not logged.,No estás logueado. 
Message via,Mensaje de la 
From,De 
"You're already on support in other chat application, please close it before opening a new one.","Ya se encuentra en apoyo en otra aplicación de chat, por favor ciérrela antes de abrir uno nuevo. "
Show more,Ver más 
Show more orders,Mostrar más pedidos 
"To show more, send","Para mostrar más, enviar "
"No categories available at the moment, please try again later.","No hay categorías disponibles en este momento, por favor Inténtalo más tarde. "
Done. This category has %s products.,Hecho. Esta categoría tiene productos de %s. 
Done. This category has only one product.,Hecho. Esta categoría tiene un único producto. 
Done. I've found %s products for your criteria.,Hecho. He encontrado productos de %s para Tu criterio. 
Done. I've found only one product for your criteria.,Hecho. He encontrado un único producto para Tu criterio. 
Done. You've only one order.,Hecho. Tienes solamente una orden. 
Done. I've found %s orders.,Hecho. He encontrado %s órdenes. 
Please wait while our support check your message so you can talk to a real person.,Por favor espere mientras nuestro apoyo Compruebe su mensaje así que usted puede hablar con una persona real. 
Please use,Por favor use 
your message here.,su mensaje aquí. 
We're working on this feature.,Estamos trabajando en esta función. 
Done. The customer is no longer on support.,Hecho. El cliente ya no está en apoyo. 
Support ended.,Apoyo terminó. 
You're now on support mode.,Ahora estás en modo de apoyo. 
"Ok, send me the message and I'll forward it to the customer.","OK, mandame el mensaje y lo envío al cliente. "
Done. The customer is no longer able to enter support.,Hecho. El cliente ya no es capaz de entrar en apoyo. 
Done. The customer is now able to enter support.,Hecho. El cliente puede ahora entrar en apoyo. 
"I'm sorry, you can't ask for support now. Please try again later.","Lo siento, usted no puede pedir ayuda ahora. Por favor Inténtalo más tarde. "
Block support,Soporte del bloque 
Enable support,Habilitar la compatibilidad con 
End support,Soporte de extremo 
Reply this message,Este mensaje de respuesta 
ID,ID 
Enable/Disable support,Activar/desactivar el soporte 
"Ok, logging out.","OK, desconectarse. "
please wait while I prepare the checkout for you.,por favor espere mientras preparo el pedido para usted. 
please wait while I gather your orders for listing.,por favor espere mientras recoger sus pedidos para el listado. 
please wait while I add the products from this order to your cart.,por favor espere mientras agrego los productos de esta orden a su carro. 
adding %s to your cart.,Agregar %s a su carrito. 
please wait while I gather all categories for you.,por favor espere mientras recojo todas las categorías para ti. 
please wait while I search for '%s' for you.,por favor espere mientras busco '%s' para usted. 
please wait while I check the status for order %s.,por favor espere mientras reviso el estado de orden s %. 
this product,Este producto 
listing more.,Listado más. 
please wait while I gather all products from %s for you.,"por favor, espere mientras que se reúnen todos los productos de %s para usted. "
Phrase,Frase 
Reply,Respuesta 
Similarity (%),Semejanza (%) 
Add,Añadir 
Command,Comando 
Command Code,Código de comando 
Alias,Alias 
Match Case,Caso de partido 
And that was the last one.,Y fue la última. 
please wait while I clear your cart.,por favor espere mientras limpio su carro. 
Webhook URL,URL Webhook 
"Click %s to check that information on Telegram website. If a wrong URL is set, try reloading this page or click %s.","Haga clic en %s para verificar que la información en la Página Web de telegrama. Si se establece una dirección URL incorrecta, intente recargar esta página o haga clic en %s. "
here,aquí 
To configure Facebook webhook access,Para configurar el acceso de Facebook webhook 
and set the webhook URL as,y configurar la URL de webhook como 
Create a new account.,Crear una nueva cuenta. 
Access %s to register a new account on our shop.,Acceder a %s para registrar una nueva cuenta en nuestra tienda. 
This product is not in stock.,Este producto no está en stock. 
"If you want to logout from your account, just send","Si desea cerrar sesión desde tu cuenta, envíanos "
Please try one of the following commands.,"Por favor, pruebe uno de los siguientes comandos. "
"Okay, so you want me to list the categories for you.","Muy bien, así quiere que las categorías de la lista para usted. "
"Okay, so you want to search for a product.","Muy bien, así que desea buscar un producto. "
"Okay, so you want to login.","Muy bien, así que desea ingresar. "
"Okay, so you want to list orders.","Bueno, por lo que a las órdenes de la lista. "
"Okay, so you want to reorder.","Muy bien, así que desee reordenar. "
"Okay, so you want to add a product to the cart.","Muy bien, así que desea agregar un producto a la cesta. "
"Okay, so you want to checkout.","Bueno, por lo que pago. "
